,Date,Open,High,Low,Close,Volume,Turnover (₹ Cr),SMA_20,EMA_10,RSI,Returns,Volatility
72,2024-04-04,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56,22215.0375,22309.179327254456,67.47810798931603,0.0035659125504521327,0.006355488931632087
73,2024-04-05,22486.4,22537.6,22427.6,22513.7,242244731.0,24797.82,22222.9075,22346.364904117283,63.79005898485926,-4.2194748752555356e-05,0.006329749766395273
74,2024-04-08,22578.35,22697.3,22550.35,22666.3,227633561.0,22480.2,22232.519999999997,22404.5349215505,73.63526081682174,0.006778095115418603,0.006399910571893009
75,2024-04-09,22765.1,22768.4,22612.25,22642.75,232356772.0,21651.69,22239.98,22447.846753995862,71.72087172087177,-0.0010389873953843276,0.006407487265686274
76,2024-04-10,22720.25,22775.7,22673.7,22753.8,276847931.0,25355.05,22261.0375,22503.474616905703,88.24490462770098,0.004904439610913025,0.006229108638513315
77,2024-04-12,22677.4,22726.45,22503.75,22519.4,357187778.0,36456.91,22270.2225,22506.370141104664,73.67248938687472,-0.010301576000492085,0.006719125468492393
78,2024-04-15,22339.05,22427.45,22259.55,22272.5,355465814.0,29474.59,22283.9625,22463.84829726745,58.622058969522506,-0.010963880032327733,0.006259855025889364
79,2024-04-16,22125.3,22213.75,22079.45,22147.9,317267066.0,28661.04,22284.025,22406.403152309733,51.649201999032776,-0.005594342799416285,0.006232977709177795
80,2024-04-18,22212.35,22326.5,21961.7,21995.85,456906707.0,43314.67,22282.65,22331.757124617052,49.72528325314288,-0.006865210697176827,0.006300610288466504
81,2024-04-19,21861.5,22179.55,21777.65,22147.0,362530569.0,36073.63,22287.215,22298.164920141222,50.7106120088864,0.006871750807538657,0.0064820837688815925
82,2024-04-22,22336.9,22375.65,22198.15,22336.4,279259571.0,26841.2,22313.1625,22305.116752842816,50.29157203363821,0.008551948345148386,0.006186913938109752
83,2024-04-23,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64,22339.607500000002,22316.550070507757,46.91924488725747,0.0014147311115488836,0.0061869092604011425
84,2024-04-24,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6,22359.129999999997,22332.159148597257,48.359440469283896,0.0015379113018598733,0.0059844936578356015
85,2024-04-25,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8,22382.81,22375.466576125025,53.98976831706448,0.007496964610934409,0.006132884218765399
86,2024-04-26,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89,22403.572500000002,22383.55447137502,47.326369282890994,-0.006663609558557937,0.006269224785374205
87,2024-04-29,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45,22429.56,22430.799112943198,53.25307248557815,0.009966569952207793,0.006517710625634515
